,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41,buy_signal,sell_signal
2468,2023-01-11 00:40:00,122.88,122.75,122.89,122.75,317776,317776,317776,分时图,74.10028369275543,87.06511676263719,0,0,0,0,317776,0,0,0,0,0,0,0,0,0,0,0,0
2469,2023-01-11 00:41:00,122.8,122.79,122.86,122.77,209160,209160,209160,分时图,74.10028369275543,87.06511676263719,0,0,0,0,209160,0,0,0,0,0,0,0,0,0,0,0,0
2470,2023-01-11 00:42:00,122.86,122.64,122.86,122.64,329904,329904,329904,分时图,72.50360083347394,87.06511676263719,0,0,0,0,329904,0,0,0,0,0,0,0,0,0,0,0,0
2471,2023-01-11 00:43:00,122.63,122.65,122.74,122.58,356168,356168,356168,分时图,72.50360083347394,87.06511676263719,0,0,0,0,356168,0,0,0,0,0,0,0,0,0,0,0,0
2472,2023-01-11 00:44:00,122.69,122.64,122.69,122.6,179432,179432,179432,分时图,72.50360083347394,87.06511676263719,0,0,0,0,179432,0,0,0,0,0,0,0,0,0,0,0,0
2473,2023-01-11 00:45:00,122.6,122.9,122.9,122.55,307568,307568,307568,分时图,72.50360083347394,87.06511676263719,0,0,0,0,307568,0,0,0,0,0,0,0,0,0,0,0,0
2474,2023-01-11 00:46:00,122.78,122.71,122.8,122.71,231024,231024,231024,分时图,72.50360083347394,87.06511676263719,0,0,0,0,231024,0,0,0,0,0,0,0,0,0,0,0,0
2475,2023-01-11 00:47:00,122.65,122.74,122.84,122.65,243592,243592,243592,分时图,72.15611319442641,87.06511676263719,0,0,0,0,243592,0,0,0,0,0,0,0,0,0,0,0,0
2476,2023-01-11 00:48:00,122.78,122.78,122.78,122.7,171752,171752,171752,分时图,72.15611319442641,87.06511676263719,0,0,0,0,171752,0,0,0,0,0,0,0,0,0,0,0,0
2477,2023-01-11 00:49:00,122.8,122.84,122.86,122.8,190432,190432,190432,分时图,72.15611319442641,87.06511676263719,0,0,0,0,190432,0,0,0,0,0,0,0,0,0,0,0,0
2478,2023-01-11 00:50:00,122.77,123.03,123.05,122.77,446048,446048,446048,分时图,72.15611319442641,87.06511676263719,0,0,0,0,446048,0,0,0,0,0,0,0,0,0,0,0,0
2479,2023-01-11 00:51:00,123.11,123.22,123.22,123.1,395560,395560,395560,分时图,72.15611319442641,87.06511676263719,0,0,0,0,395560,0,0,0,0,0,0,0,0,0,0,0,0
2480,2023-01-11 00:52:00,123.24,123.04,123.24,123.04,361520,361520,361520,分时图,71.93408954818784,87.06511676263719,0,0,0,0,361520,0,0,0,0,0,0,0,0,0,0,0,0
2481,2023-01-11 00:53:00,123.14,123.23,123.26,123.09,306056,306056,306056,分时图,71.93408954818784,87.06511676263719,0,0,0,0,306056,0,0,0,0,0,0,0,0,0,0,0,0
